206,"LGDPP(NN)","GDP, PPP","del","NN",
207,"LGDPR(UU)","GDP, real","del","UU",
208,"LGDPR(NN)","GDP, real","del","NN",
209,"LGYL(UU)","ln of output (lagged)","pct","UU",
210,"LGYL(NN)","ln of output (lagged)","pct","NN",
211,"LGYX(UU)","ln of output target","pct","UU",
212,"LGYX(NN)","ln of output target","pct","NN",
213,"LOGY(UU)","ln of output","pct","UU",
214,"LOGY(NN)","ln of output","pct","NN",
215,"MONE(UU)","money demanded IN LOGS","pct","UU",
216,"MONE(NN)","money demanded IN LOGS","pct","NN",
217,"MONL(UU)","money demanded as %GDP","gdp","UU",
218,"MONL(NN)","money demanded as %GDP","gdp","NN",
219,"MONX(UU)","money target IN LOGS","pct","UU",
220,"MONX(NN)","money target IN LOGS","pct","NN",
221,"NB02(UU)","interest rate, 2-year, nominal","del","UU",
222,"NB02(NN)","interest rate, 2-year, nominal","del","NN",
223,"NB05(UU)","interest rate, 5-year, nominal","del","UU",
224,"NB05(NN)","interest rate, 5-year, nominal","del","NN",
225,"NB10(UU)","interest rate, 10-year, nominal","del","UU",
226,"NB10(NN)","interest rate, 10-year, nominal","del","NN",
227,"NEER(UU)","trade-weighted exch rate, FC/domestic","pct","UU",
228,"NEER(NN)","trade-weighted exch rate, FC/domestic","pct","NN",
229,"NGRO(UU)","nominal output growth","pct","UU",
230,"NGRO(NN)","nominal output growth","pct","NN",
231,"OI(a01,g02,UU)","sector demand for M goods","gdp","UU",
232,"OI(a01,g02,NN)","sector demand for M goods","gdp","NN",
233,"OI(a02,g02,UU)","sector demand for M goods","gdp","UU",
234,"OI(a02,g02,NN)","sector demand for M goods","gdp","NN",
235,"OIN(a01,UU)","sector demand for M","gdp","UU",
236,"OIN(a01,NN)","sector demand for M","gdp","NN",
237,"OIN(a02,UU)","sector demand for M","gdp","UU",
238,"OIN(a02,NN)","sector demand for M","gdp","NN",
239,"OUG(g01,UU)","domestic supply of goods","gdp","UU",
240,"OUG(g01,NN)","domestic supply of goods","gdp","NN",
241,"OUG(g02,UU)","domestic supply of goods","gdp","UU",
242,"OUG(g02,NN)","domestic supply of goods","gdp","NN",
243,"OUP(a01,UU)","domestic production","gdp","UU",
244,"OUP(a01,NN)","domestic production","gdp","NN",
245,"OUP(a02,UU)","domestic production","gdp","UU",
246,"OUP(a02,NN)","domestic production","gdp","NN",
247,"OUTP(UU)","agg output Q index to match PRID","gdp","UU",
248,"OUTP(NN)","agg output Q index to match PRID","gdp","NN",
249,"OUY(g01,UU)","composite supply","gdp","UU",
250,"OUY(g01,NN)","composite supply","gdp","NN",
251,"OUY(g02,UU)","composite supply","gdp","UU",
252,"OUY(g02,NN)","composite supply","gdp","NN",
253,"PBAG(UU)","value of permits sold through govt USD","gdp","UU",
254,"PBAG(NN)","value of permits sold through govt USD","gdp","NN",
255,"PBAL(UU)","value of permits sold, USD","gdp","UU",
256,"PBAL(NN)","value of permits sold, USD","gdp","NN",
257,"PGDP(UU)","GDP, implicit price deflator GDPN/GDPR","pct","UU",
258,"PGDP(NN)","GDP, implicit price deflator GDPN/GDPR","pct","NN",
259,"PIM(g01,UU,UU)","landed price of IMP","pct","UU",
260,"PIM(g01,UU,NN)","landed price of IMP","pct","UU",
261,"PIM(g01,NN,UU)","landed price of IMP","pct","NN",
262,"PIM(g01,NN,NN)","landed price of IMP","pct","NN",
263,"PIM(g02,UU,UU)","landed price of IMP","pct","UU",
264,"PIM(g02,UU,NN)","landed price of IMP","pct","UU",
265,"PIM(g02,NN,UU)","landed price of IMP","pct","NN",
266,"PIM(g02,NN,NN)","landed price of IMP","pct","NN",
267,"PMQ(g01,UU)","landed price index for IMQ","pct","UU",
268,"PMQ(g01,NN)","landed price index for IMQ","pct","NN",
269,"PMQ(g02,UU)","landed price index for IMQ","pct","UU",
270,"PMQ(g02,NN)","landed price index for IMQ","pct","NN",
271,"PMR(g01,UU)","price of imports incl tariffs","pct","UU",
272,"PMR(g01,NN)","price of imports incl tariffs","pct","NN",
273,"PMR(g02,UU)","price of imports incl tariffs","pct","UU",
274,"PMR(g02,NN)","price of imports incl tariffs","pct","NN",
275,"POI(a01,UU)","sector price of M","pct","UU",
276,"POI(a01,NN)","sector price of M","pct","NN",
277,"POI(a02,UU)","sector price of M","pct","UU",
278,"POI(a02,NN)","sector price of M","pct","NN",
279,"PRCE(UU)","HH price of E","pct","UU",
280,"PRCE(NN)","HH price of E","pct","NN",
281,"PRCL(UU)","aggregate price of consumer goods lag","pct","UU",
282,"PRCL(NN)","aggregate price of consumer goods lag","pct","NN",
283,"PRCO(UU)","HH price of M","pct","UU",
284,"PRCO(NN)","HH price of M","pct","NN",
285,"PRCT(UU)","aggregate price of consumer goods","pct","UU",
286,"PRCT(NN)","aggregate price of consumer goods","pct","NN",
287,"PRD(g01,UU)","pretax price of goods","pct","UU",
288,"PRD(g01,NN)","pretax price of goods","pct","NN",
289,"PRD(g02,UU)","pretax price of goods","pct","UU",
290,"PRD(g02,NN)","pretax price of goods","pct","NN",
291,"PRDL(UU)","weighted price of domestic output lag","pct","UU",
292,"PRDL(NN)","weighted price of domestic output lag","pct","NN",
293,"PRDX(UU)","weighted price of domestic output","pct","UU",
294,"PRDX(NN)","weighted price of domestic output","pct","NN",
295,"PRE(a01,UU)","sector price of E","pct","UU",
296,"PRE(a01,NN)","sector price of E","pct","NN",
297,"PRE(a02,UU)","sector price of E","pct","UU",
298,"PRE(a02,NN)","sector price of E","pct","NN",
299,"PRF(a01,UU)","short run profits","gdp","UU",
300,"PRF(a01,NN)","short run profits","gdp","NN",
301,"PRF(a02,UU)","short run profits","gdp","UU",
302,"PRF(a02,NN)","short run profits","gdp","NN",
303,"PRFT(UU)","Total economywide profits","gdp","UU",
304,"PRFT(NN)","Total economywide profits","gdp","NN",
305,"PRFY(UU)","profits on R capital","gdp","UU",
306,"PRFY(NN)","profits on R capital","gdp","NN",
307,"PRFZ(UU)","imputed short run profits on HH cap","gdp","UU",
308,"PRFZ(NN)","imputed short run profits on HH cap","gdp","NN",
309,"PRGT(UU)","aggregate price of government goods","pct","UU",
310,"PRGT(NN)","aggregate price of government goods","pct","NN",
311,"PRID(UU)","weighted price of domestic output","pct","UU",
312,"PRID(NN)","weighted price of domestic output","pct","NN",
313,"PRIE(UU)","R price of E","pct","UU",
314,"PRIE(NN)","R price of E","pct","NN",
315,"PRII(UU)","prod price of inv goods","pct","UU",
316,"PRII(NN)","prod price of inv goods","pct","NN",
317,"PRIM(UU)","weighted price of imports","pct","UU",
318,"PRIM(NN)","weighted price of imports","pct","NN",
319,"PRIX(UU)","weighted price of exports","pct","UU",
320,"PRIX(NN)","weighted price of exports","pct","NN",
321,"PRK(a01,UU)","implicit rental price","pct","UU",
322,"PRK(a01,NN)","implicit rental price","pct","NN",
323,"PRK(a02,UU)","implicit rental price","pct","UU",
324,"PRK(a02,NN)","implicit rental price","pct","NN",
325,"PRKY(UU)","implicit RR rental price","pct","UU",
326,"PRKY(NN)","implicit RR rental price","pct","NN",
327,"PRKZ(UU)","implicit HH rental price","pct","UU",
328,"PRKZ(NN)","implicit HH rental price","pct","NN",
329,"PROI(UU)","R price of M","pct","UU",
330,"PROI(NN)","R price of M","pct","NN",
331,"PRP(a01,UU)","producer price","pct","UU",
332,"PRP(a01,NN)","producer price","pct","NN",
